familyRoot	canonicalBrainrot	speciesKey	generatedName	stageLabel	characterDescription	cardDescription
rattata	Frigo Camelo	raticate	pipi camelo max	final	A fully grown fridge-camel brute with a full freezer torso, longer camel neck, and a tougher rodent body planted on heavy feet.	It grew boxier and meaner, like a kitchen appliance that had finally learned revenge.
spearow	Frigo Camelo	spearow	voli camelo	base	A light Frigo Camelo hatchling with the camel-fridge head compressed onto a narrow darting bird frame.	It skimmed the air with freezer breath and the stare of a very judgmental camel.
spearow	Frigo Camelo	fearow	voli camelo plus	final	A larger flying Frigo Camelo with the full fridge chest, elongated camel neck, and hard stabbing avian momentum.	By the time it circled back, the desert and the kitchen had already become the same thing.
ekans	La Casa Boo	ekans	ombra boo	base	A stretched snake-shadow that keeps just the one eye, jagged mouth, and roofline of La Casa Boo pulled into a long body.	The boo house stretched itself into a hiss and slid through the dark like bad architecture.
ekans	La Casa Boo	arbok	ombra boo prime	final	A full serpent-house with the whole one-eyed facade, tongue, and clawed house supports transformed into a regal coil.	It no longer walked like a house at all; it ruled like a curse wearing walls.
pikachu	Pipi Avocado	pikachu	pipi brr max	mid	A mid-stage Pipi Avocado with the happy capybara face, fuller avocado body, upright ears, and a more obvious cheek-charge building through the rind.	Pipi Avocado ripened into a brighter middle stage, sweeter at a glance and more dangerous in the spark.
pikachu	Pipi Avocado	raichu	pipi brr teh	final	A completed avocado-capybara with the fuller pit-body, upright ears, longer limbs, and a sharper electric swagger.	Once fully ripened, the grin stayed warm but the charge in its step turned every joke into a threat.
sandshrew	Pipi Avocado	sandshrew	pipi bau	base	A shy Pipi Avocado curled into a small rind shell, with only the capybara face and avocado crown really showing.	It tucked itself into green armor and waited for the world to underestimate it.
sandshrew	Pipi Avocado	sandslash	pipi bau max	final	A tougher digging avocado-capybara with heavy rind armor opened out into sharp plates and a more aggressive clawing stance.	When Pipi Avocado learned to claw the earth, even stone started sounding nervous.
nidoranF	La Casa Boo	nidoranF	bici boo	base	A tiny haunted-house beast with a simplified roof body, one eye, little fangs, and quick clawed feet.	It scampered like a bad omen in a ribbon, cute only until the teeth showed.
nidoranF	La Casa Boo	nidorina	bici boo prime	mid	A sturdier La Casa Boo form with a clearer roofline, longer tongue, and a more grounded four-footed stance.	The eye grew calmer, which somehow made the whole thing worse.
nidoranF	La Casa Boo	nidoqueen	bici boo omega	final	A towering haunted-house queen with the full roof silhouette, one eye, sharp grin, and brutal clawed legs.	She ruled the lane like a cursed mansion given a crown and permission.
nidoranM	Skull Skull Skull	nidoranM	assa skull	base	A small Skull Skull Skull hatchling with one dominant skull face, light bone nubs, and a compact bruiser body.	The first skull grinned from the dark as if two more were already thinking behind it.
nidoranM	Skull Skull Skull	nidorino	assa skull prime	mid	A stronger bone brute with a second skull shape starting to show through the head and shoulders and more horned bone mass.	The bones stacked their laughter, and the body below them started believing it was invincible.
nidoranM	Skull Skull Skull	nidoking	assa skull omega	final	A full Skull Skull Skull warlord with layered cranium shapes, horned bone bulk, and a hulking tyrant frame.	By its last form, the joke had become a dynasty of teeth.
clefairy	Taco Brainrots	clefairy	cosmi taco max	mid	A growing Taco Brainrot with a fuller folded taco body, brighter cosmic eyes, and a stronger starry glow spilling out of the filling.	By the middle stage, the taco had stopped being cute by accident and started being cosmic on purpose.
clefairy	Taco Brainrots	clefable	cosmi taco boss	final	A full Taco Brainrot idol with the whole taco shell silhouette, cosmic stuffing glow, and commanding fairy bulk.	When the taco rose to godhood, the stars looked almost seasoned.
vulpix	Bombardini Tortinii	vulpix	bau bomba	base	A light Bombardini juvenile with the tortilla face, wide gasp-eyes, and a quick fox body trailing only the first exhaust flare.	Bombardini skimmed low over the ground, dropping heat and crumbs with equal confidence.
vulpix	Bombardini Tortinii	ninetales	bau bomba prime	final	A grand tortilla-bomber with the full round face, roaring exhaust, and a many-tailed strike silhouette.	The fox became an air-raid of flatbread, elegant only until it opened fire.
jigglypuff	Tralalero Tralala	jigglypuff	tralala pepper plus	mid	A rounder mid-stage sneaker shark puffball with the blank blue face, two clearer fin-legs, and more confident blue-shoe swagger.	It kept singing in those tiny shoes, now loud enough that the joke started evolving with it.
jigglypuff	Tralalero Tralala	wigglytuff	tralala pepper ultra	final	A fuller shark-ball with the same blank blue face, multiple fin-legs, and louder blue-sneaker swagger.	It bounced bigger, sang louder, and somehow looked even less emotionally available.
zubat	La Casa Boo	zubat	boo ombra	base	A batlike La Casa Boo reduced to an eye, a grin, and roof-shaped wings hidden in shadow.	You never saw the whole house at once, only the eye and the grin between wingbeats.
zubat	La Casa Boo	golbat	boo ombra plus	mid	A broader winged house-monster with the one eye, long tongue, and full haunted facade spread wide, but not yet the full Crobat payoff.	The haunted house learned to fly harder and faster, but it still had one last mouthful of nightmare to grow.
oddish	Pipi Corni	oddish	corni avoca	base	A tiny Pipi Corni sprout: mostly the dormouse grin and a small corn-avocado bulb with only the first leaflets pushing out.	It poked out of the soil like a happy mistake and refused every attempt to define it.
oddish	Pipi Corni	gloom	corni avoca max	mid	A thicker plant-mouse with a fuller corn torso, heavier leaf collar, and a drooping garden-beast posture.	The roots deepened, the grin stayed, and the whole patch felt a little more haunted by joy.
oddish	Pipi Corni	vileplume	corni avoca boo	final	A blooming Pipi Corni flower-beast with the dormouse face framed by a grand corn-and-petal crown.	At full bloom it looked less like produce and more like an agricultural prophecy.
paras	Ballerina Cappuccina	paras	cappu chimpa	base	A tiny cappuccino ballerina reduced to the cup head, little dance shoes, and a squat mushroom-crab body with almost no dress yet.	Even half-hidden in the underbrush, she kept perfect posture and terrible priorities.
ballerina-cappuccina	Ballerina Cappuccina	parasect	ballerina cappuccina	solo	A graceful human ballerina with a cappuccino cup for a head, a foamy coffee crown, delicate ballet limbs, a full tutu silhouette, and poised stage presence. She should read as the iconic Ballerina Cappuccina herself rather than a derived bug form.	She pirouetted once, and the whole battlefield started behaving like a stage.
venonat	Blueberrinni Octopusini	venonat	spidi bluebe bici	base	A fuzzy Blueberrinni with the blueberry head, bright eyes, and short tentacles simplified into buggy little legs.	It rolled in looking sweet, then stared long enough for everyone to regret calling it cute.
venonat	Blueberrinni Octopusini	venomoth	spidi bluebe boo	final	A winged Blueberrinni that keeps the berry crown and octopus face while stretching the limbs into long drifting moth fins.	The berry left the water for the night sky and somehow became even stranger.
diglett	Pipi Avocado	diglett	pipi bau bici	base	A buried Pipi Avocado with only the smiling capybara face and avocado crown showing above the soil and no visible body at all.	Only the grin and the green rind showed, but that was already enough to start trouble.
diglett	Pipi Avocado	dugtrio	pipi bau prime	final	A larger mole form with more rind armor and multiple avocado-capybara heads bursting from the earth at once.	What began as one buried joke returned as a whole field of them.
meowth	Boppin Bunny	meowth	gatti bunny	base	A catlike Boppin Bunny hybrid with the glasses, bow, and short bunny ears kept small over a sly feline frame.	It smiled like it had already stolen the spotlight and your loose change.
meowth	Boppin Bunny	persian	gatti bunny prime	final	A sleek glam-beast that stretches the bunny glasses-and-bow identity into a refined cat silhouette with fuller ears and runway poise.	Grace arrived dressed in pink and already knew it deserved a better room.
psyduck	Frigo Camelo	psyduck	voli camelo brr	base	A confused Frigo Camelo duckling with the camel-fridge head compressed onto a waddling duck body and only a little cold-box chest.	It looked refrigerated in both body and thought, which explained almost everything.
psyduck	Frigo Camelo	golduck	voli camelo max	final	A sharper duck-camel fridge hybrid with a longer neck, fuller boxy chest, and cleaner aquatic posture.	Once it figured out how to swim and sneer at the same time, everyone else got nervous.
mankey	Boppin Bunny	mankey	bunny bici	base	A scrappy bunny-monkey with little Boppin Bunny ears and glasses jammed onto a compact angry primate body.	It threw hands, kept the bow, and never once saw a contradiction.
mankey	Boppin Bunny	primeape	bunny bici max	final	A bulkier fighter that keeps the bunny ears, glasses, and pink flair on a furious ape silhouette with much heavier fists and shoulders.	The cuteness stayed on only as long as the fists were resting.
growlithe	Los Crocodillitos	growlithe	bau croco	base	A puppy-scaled Crocodillitos form with a little croc snout, just a few visible teeth, and a playful low body.	It chased like a dog but smiled like a swamp secret.
growlithe	Los Crocodillitos	arcanine	bau croco max	final	A regal hound-croc with the longer reptile snout, fuller teeth, and a huge heroic guardian frame.	By the end it stood like a royal war-beast from a children's nightmare.
poliwag	Aquanaut	poliwag	dolphi aquana	base	A tiny astronaut with a happy water face floating in a bubble helmet over a soft tadpole body, with barely any true suit limbs yet.	A little drop inside a suit, already convinced it belonged somewhere impossibly far away.
poliwag	Aquanaut	poliwhirl	dolphi aquana plus	mid	A sturdier astronaut with the smiling water face centered in a clearer spacesuit ring, a stronger suit torso, and small arms and feet now reading as a real suit body.	The helmet brightened, the stride steadied, and the joke began sounding like destiny.
poliwag	Aquanaut	poliwrath	dolphi aquana band	final	A full space-suited battler with the happy water face set in the chest of a heavy astronaut suit and a punch-ready aquatic frame.	It stopped exploring the water and started colonizing it.
abra	Telemorte	abra	telemo telepi	base	A tiny demon television with a CRT head, a red sinister face in the screen, brown static casing, and only horn nubs, a tail nub, and the faintest start of skeleton legs.	The old screen flickered once, and the room immediately felt less blessed.
abra	Telemorte	kadabra	telemo telepi plus	mid	A taller demon CRT with the red face glowing in the screen, clearer heart-shaped horn antennae, a real tail, and partial skeletal limbs now stepping out from the casing.	By then the broadcast had turned personal.
abra	Telemorte	alakazam	telemo telepi ultra	final	A full demon television with the red sinister face in the CRT, brown static casing, heart-shaped horn antennae, a tail behind the back, and full dramatic skeleton legs.	It spoke in static and old curses, and somehow both sounded perfectly Italian.
machop	Bananito Bandito	machop	band boss	base	A small Bananito brawler with the banana head-body read, simple bandit energy, and short stocky fists.	He was yellow, smug, and already walking like the soundtrack belonged to him.
machop	Bananito Bandito	machoke	band boss max	mid	A harder-edged banana outlaw with broader shoulders, stronger arms, and a much clearer criminal swagger in the stance and peel.	The peel stayed bright; the morals did not.
machop	Bananito Bandito	machamp	band boss luna	final	A full Bananito bruiser with the complete banana-bandit silhouette, thick limbs, and unmistakable boss energy.	By the last form he looked like a heist waiting for an excuse.
bellsprout	Pipi Corni	bellsprout	corni bambu	base	A sprig-thin Pipi Corni with the dormouse face set on a small corn-stalk body and only a bud-like snout where the maw will be.	It swayed like a crop, smiled like a rodent, and confused nature on purpose.
bellsprout	Pipi Corni	weepinbell	corni bambu max	mid	A drooping plant form with more corn mass, a larger leaf frill, and a heavier opening flower maw.	The stem bowed, but only so it could loom closer.
bellsprout	Pipi Corni	victreebel	corni bambu boss	final	A full pitcher-beast with Pipi Corni's happy rodent face twisted into a huge carnivorous corn-flower body.	The grin stayed cheerful right up to the moment it swallowed the light.
tentacool	Bananita Dolphinita	tentacool	octo dolphi	base	A small Bananita with the dolphin face and a peeled banana lower body, streamlined into a jellylike swimmer with only short peel tendrils.	It leapt from the water looking both slippery and snack-shaped, which felt unfair.
tentacool	Bananita Dolphinita	tentacruel	octo dolphi plus	final	A broader sea terror that keeps the dolphin head while the banana peel flares into long cruel tentacles.	The peel opened wider, and the whole ocean suddenly remembered it could scream.
geodude	Hydra Bunny	geodude	hydra pipi	base	A stubby Hydra Bunny with one dominant rabbit head and one or two extra head-buds pushing out of the rock mass.	One rabbit grin was already too many for a boulder.
geodude	Hydra Bunny	graveler	hydra pipi prime	mid	A heavier Hydra Bunny with two or three rabbit heads now clearly emerged from a chunkier stone body.	The rock split into arguments, and every head thought it should be in charge.
geodude	Hydra Bunny	golem	hydra pipi omega	final	A full Hydra Bunny brute with multiple rabbit heads, layered stone bulk, and unstoppable rolling weight.	By the end it looked like a landslide designed by a prankster god.
ponyta	Cachorrito Melonito	ponyta	bau rizz	base	A quick little melon-pup with rounded dog features, glossy rind colors, and a nimble foal build.	It smelled like summer fruit and bad decisions at high speed.
ponyta	Cachorrito Melonito	rapidash	bau rizz max	final	A taller hound-steed with the full melon head, longer limbs, and a stylish blazing stride.	When it ran, the air behind it felt sliced open and sweet.
slowpoke	Telemorte	slowpoke	fishi telemo	base	A sleepy fish version of the demon CRT, with a red face in the screen, brown static casing, tiny horn nubs, and a lazy aquatic body with no full demon limbs yet.	The signal was weak, the curse was not.
slowpoke	Telemorte	slowbro	fishi telemo telepi	final	A fuller demon TV-creature with the red face in the screen, clearer heart-shaped horn cues, and a sluggish body now carrying a second sinister growth.	It still looked slow, but the static behind its smile had sharpened.
magnemite	Brr Brr Patapim	magnemite	techi brr	base	A mechanical Patapim fragment: the elongated nose, long grey hair, and leafy robe traces draped over a single hovering metal orb with almost no limbs.	Patapim learned magnetism and still entered the room nose first.
magnemite	Brr Brr Patapim	magneton	techi brr prime	final	Several hovering metal bodies clustered around one long-nosed Patapim face, with hanging grey hair and dark green leafy robe fibers tying the storm-engine together.	The brr became electric, and the old swamp sage turned into a storm engine.
farfetchd	Tralalero Tralala	farfetchd	voli tralala	solo	A lean bird built from the same blank-faced blue-shark idea, with one proud fin-leg in a blue sneaker and a sharper winged outline.	It flew like a punchline wearing designer shoes and refusing all follow-up questions.
doduo	Tralalero Tralala	doduo	voli tralala brr	base	A double-headed runner made from two blank blue shark faces, two elongated fin-legs, and tiny blue shoes under a narrow body.	One blank stare was rude enough; two made it art.
doduo	Tralalero Tralala	dodrio	voli tralala max	final	A full multi-headed sneaker-shark runner with three shark heads, more fin-legs, more shoes, and pure absurd momentum.	By the time the third rhythm hit, nobody remembered what normal birds were for.
seel	Capitano Moby	seel	octo moby	base	A seal-pup Capitano Moby: just the rounded whale-captain face, a tiny cap badge, and a soft little seal body with almost none of the admiral length or ocean grandeur yet.	He saluted the tide like it was his crew and his audience.
seel	Capitano Moby	dewgong	octo moby max	final	The full marine commander: a larger captain-whale with the complete nautical face, clearer cap-and-captain read, a long proud body, and a colder admiral silhouette cutting through the surf.	The little skipper grew into an admiral of foam and nonsense.
grimer	Skull Skull Skull	grimer	skull boo	base	A puddled Skull Skull Skull with one clear cranium grin rising from sludge and only hints of the others beneath the ooze.	The first skull surfaced smiling, and the muck applauded.
grimer	Skull Skull Skull	muk	skull boo plus	final	A bigger sludge horror with multiple skull shapes swelling all the way through the ooze and a broad toxic body.	The swamp kept every laugh it ever heard and poured them all into one body.
shellder	Capitano Moby	shellder	aquana moby	base	A shut little whale-shell with a tiny captain face tucked inside a plain rounded shell, before the crown, armor ridges, and command presence have opened out.	Even shut tight, the little captain looked ready to bark orders at the tide.
shellder	Capitano Moby	cloyster	aquana moby max	final	A fortified sea captain beast with the full Capitano Moby face, a layered shell crown, harder armor plates, and a colder heavier ocean bulk.	The shell opened like a command, and the water obeyed.
gastly	Skull Skull Skull	gastly	skull boo luna	base	A floating Skull Skull Skull remnant with one ghostly skull face and dark fumes hiding the others.	It was mostly laugh and vapor, which made the threat feel personal.
gastly	Skull Skull Skull	haunter	skull boo prime	mid	A larger ghost with a second and third skull shape beginning to read through the haze and grasping hands emerging from the vapor.	The air around it learned how to grin.
gastly	Skull Skull Skull	gengar	skull boo ultra	final	A full shadow brute with stacked skull motifs buried in one monstrous body and a huge predatory smile.	Three deaths worth of laughter found a single skin to wear.
onix	Celularcini Viciosini	onix	vicios bau	solo	A rock-snake built from phone-addict slabs, with screenlike face panels and a twitchy plugged-in posture.	It slithered like bad reception made flesh, every segment craving one more signal.
drowzee	Carrotini Brainini	drowzee	telepi braini	base	A small Carrotini Brainini with a carrot nose, just one little exposed brain fold above the brow, and a sleepy tapirlike frame.	It smelled of root cellar magic and dreams that should have stayed buried.
drowzee	Carrotini Brainini	hypno	telepi braini plus	final	A taller psychic with the full carrot-and-brain head read, multiple exposed brain folds, longer limbs, and hypnotic menace.	It stared long enough for the harvest and the headache to become the same thing.
krabby	Frigo Camelo	krabby	camelo aquana	base	A crabby Frigo Camelo offshoot with the camel-fridge face compressed into a sideways shell and big pinchers.	It scuttled like a kitchen appliance that had learned shoreline politics.
krabby	Frigo Camelo	kingler	camelo aquana max	final	A larger crustacean with the fridge-camel head, full boxy freezer chest, and oversized crushing claws.	The claws snapped shut like cold metal doors.
voltorb	Brr Brr Patapim	voltorb	patapim brr	base	Just the Patapim face at first: an elongated nose, long grey hair, and dark green leafy fringe wrapped around a charged sphere with no real legs yet showing.	Patapim appeared as a floating face first, humming brr from somewhere older than the swamp.
voltorb	Brr Brr Patapim	electrode	patapim brr plus	final	A fuller Patapim druid with the elongated nose, long grey hair, and dark green robe-like covering, now balanced on one strong stepping leg.	Then the old monkey found his footing, and the air cracked around him.
exeggcute	Pipi Corni	exeggcute	corni telemo	base	A cluster of seed-small Pipi Corni faces with corn textures and little husk caps, as if one creature had split into several chattering kernels with no shared trunk yet.	They argued in squeaks and husks, each certain it was the original.
exeggcute	Pipi Corni	exeggutor	corni telemo telepi	final	A towering fused harvest-beast with multiple smiling Pipi Corni seed-faces rising from one huge corn-plant trunk.	At full height the harvest stopped being plural and became a choir.
cubone	GOAT	cubone	panda goat	base	A sad little anthropomorphic goat athlete with green pupils, yellowish hair, small horns, faint jersey-and-trackwear hints, tennis shoes, and a lone unsure stance.	Even in mourning, it held itself like the court might call its name.
cubone	GOAT	marowak	panda goat bear	final	A harder court-warrior goat with fuller horns, clearer green-red sportswear panels, tennis shoes, and a champion's aggressive posture.	Grief turned competitive, and the scoreboard somehow started trembling.
bombardino-flight	Bombombini Gusini	hitmonlee	bombombini gusini	branch-final	A branch-final bomber beast: Bombombini Gusini as a goose fused with a fighter jet, with a long bird neck, beak-goose face, swept wings, engine mass, and an aerial strike silhouette that still reads lean and fast.	It came screaming out of the clouds like a goose that had learned military procurement.
hitmonchan	Bananito Bandito	hitmonchan	band bici boss	solo	A boxer version of Bananito that keeps the banana-bandit identity but pushes it into guarded punching shoulders.	He raised his gloves like he was robbing the ring itself.
lickitung	Tralalero Tralala	lickitung	tung tralala	solo	A comic offshoot that keeps the blank blue shark face and blue-shoe logic but collapses the rest into one huge tongue-heavy body.	The shark lost its dignity, kept the shoes, and discovered the power of being disgusting.
koffing	La Casa Boo	koffing	boo ombra luna	base	A floating La Casa Boo seed with the haunted eye, sharp mouth, and house lines softened into a toxic orb with no full house body yet.	Even as smoke, the little house still looked like it wanted candy and blood in equal measure.
koffing	La Casa Boo	weezing	boo ombra skull	final	A two-body gas monster carrying the one-eyed house grin, long tongue, and full cursed-roof shapes.	The haunting escaped the walls and learned how to breathe.
rhyhorn	DJ Panda	rhyhorn	panda drago	base	A squat DJ Panda bruiser with the panda face, headphone energy, and a short horned rhino frame.	The beat dropped somewhere inside its skull and never left.
rhyhorn	DJ Panda	rhydon	panda drago plus	final	A heavier tank that keeps DJ Panda's face and club vibes while growing into a plated charge monster with much more mass in the horn and shoulders.	It hit the ground like a bassline with no respect for architecture.
chansey	Pipi Avocado	chansey	tung pipi prime	solo	A soft Pipi Avocado caretaker with the smiling capybara face, round avocado torso, and gentle apron-like belly.	It carried comfort the way some saints carry relics: carefully and with snacks.
tangela	Cacto Hipopotamo	tangela	avoca cacto	solo	A knot of vines shaped around a cactus-hippo core, with the blunt snout and heavy plant bulk still readable.	Every vine hid a little more hippo than the eye wanted to admit.
kangaskhan	Tralalero Tralala	kangaskhan	tralala camelo	solo	A maternal sneaker shark with the blank blue shark face, blue-shoed legs, and a broad pouchlike body built to carry a smaller echo.	Even motherhood could not change the blank stare; it only added responsibility to the drip.
horsea	Ho Ho Ho Sahur	horsea	sahur frigo	base	A tiny seahorse take on the Santa pole-man: a narrow metal-pole body with a plain face, closed mouth, only a tuft of white beard, and the first thin red-coat-and-cane cues.	It drifted by like a holiday knock heard underwater.
horsea	Ho Ho Ho Sahur	seadra	sahur frigo max	final	A sharper sea-dragon take on the same Santa pole figure, with the neutral face, closed mouth, full white wiggly beard, cane-like body rhythm, and clear red suit panels running through the body.	The ocean put on its winter coat and started speaking in pipes.
goldeen	Blueberrinni Octopusini	goldeen	octo fishi	base	A light aquatic Blueberrinni with the berry head and only a few elegant fin-tentacles, still reading more like a fishlet than a true octopus bloom.	It flashed past like a fruit pretending to be a prophecy.
goldeen	Blueberrinni Octopusini	seaking	octo fishi plus	final	A stronger octo-fish that keeps the blueberry crown while the tentacles lengthen into regal fins and the whole body reads as a proper sea sovereign.	Then the berry learned to swim like royalty.
staryu	Aquanaut	staryu	cosmi aquana	base	A small star-suit version of the astronaut, reduced to a happy water face inside a plain five-point celestial frame with minimal suit detail.	A tiny astronaut stared from the middle of the star as if space were already local.
staryu	Aquanaut	starmie	cosmi aquana prime	final	A larger alien star-suit with the full smiling water face centered in a polished multi-layer celestial frame that feels like complete space armor.	It no longer explored space; it decorated it.
mrMime	Boba Panda	mrMime	braini boba cappu	solo	A thoughtful panda-boba performer with the panda face, cup pearls, and a theatrical mime body.	He built invisible walls like a cafe philosopher arguing with the air.
scyther	Blueberrinni Octopusini	scyther	spidi octo	solo	An aggressive Blueberrinni variant that keeps the berry head and octopus eyes but turns the limbs into cutting mantis blades.	The fruit went feral and learned how to slice the sea out of the air.
jynx	Elefanto Frigo	jynx	frigo telemo prime	solo	An Elefanto Frigo diva with the elephant-fridge head read, cold trunk shapes, and a dramatic humanoid pose.	She entered like winter in heels, humming through a freezer door smile.
electabuzz	Brr Brr Patapim	electabuzz	patapim bici plus	solo	A combat version of the long-nosed proboscis monkey, with wild grey hair, dark green plant-robe traces, and quick brawling limbs built for thunder.	Patapim traded moss for speed and started throwing thunder with both hands.
magmar	Ho Ho Ho Sahur	magmar	bomba sahur prime	solo	A fiery variant of the Santa-clad metal pole-man, with a neutral face, white beard, cane silhouette, and red coat details turned into heat and smoke.	The cane smoked, the coat burned, and the old holiday knock became a battle drum.
pinsir	DJ Panda	pinsir	panda octo	solo	A savage DJ Panda offshoot with the panda face and club energy shoved into huge beetle horns and a wrestler frame.	The party animal finally grew antlers for the encore.
tauros	GOAT	tauros	goat camelo	solo	A charging goat athlete that keeps the green pupils, yellowish hair, green-and-red uniform, tennis shoes, and basketball-star swagger on a powerful bull body.	Every hoofbeat sounded like a crowd chanting MVP.
magikarp	Capitano Moby	magikarp	aquana moby tazza	base	A pathetic little Capitano Moby with the captain face and whale idea shrunk into a flimsy fish-skipper body with weak fins and no admiral mass yet.	The captain had a hat, a dream, and absolutely no authority over the water yet.
magikarp	Capitano Moby	gyarados	aquana moby plus	final	A colossal sea-serpent admiral with the full captain-whale face and overwhelming ocean presence.	Some captains learn command; this one learned catastrophe.
lapras	Frigo Camelo	lapras	camelo frigo	solo	A gentle Frigo Camelo transport with the camel head, fridge body, and broad calm lake-ride silhouette.	It carried the cold like a burden and a gift at once.
ditto	Pipi Avocado	ditto	pipi tung	solo	A melted Pipi Avocado blob that keeps the capybara smile and avocado body read even while shapeless.	It copied badly on purpose, just to prove the grin mattered more than the shape.
eevee	Gangster Footera	eevee	footera	base	A small early Footera with a rounded fox body, one oversized sneaker-foot silhouette, a dark blue hooded jacket shape, yellow trim, a blocky grey cap, and narrow slit eyes that already look a little delinquent.	Before it picked an element, it was already walking around like it owned the alley.
eevee	Gangster Footera	vaporeon	water footera	branch-final	The water branch: a sleek aquatic Footera that keeps the hooded street-shape and oversized sneaker-foot identity while stretching into fins, wave-curved laces, and a cool dark-blue swimmer silhouette.	One route taught Footera to move like a tide in expensive shoes.
