familyRoot	canonicalBrainrot	speciesKey	generatedName	stageLabel	renderMode	characterDescription	cardDescription
bombardino-flight	Bombardiro Crocodilo	noctowl	bombardiro crocodilo	branch-final	generate-from-prompt-only	The crocodile branch of the Bombardino family: Bombardiro Crocodilo as a military bomber with a crocodile head fused into the fuselage, broad destructive wings, and a full airborne predator silhouette. Keep the iconic OG identity, but let it read as one completed branch of the same bomber family.	Bombardiro Crocodilo finished one branch by turning the whole joke into an air raid with teeth.
ledyba	Brr es Teh Patipum	ledyba	brr es teh patipum	base	use-style-reference-as-full-art	The base stage of the Ledyba line. Keep the exact recognizable Brr es Teh Patipum identity from the OG reference, but treat it as the first readable form rather than a standalone boss.	Brr es Teh Patipum starts the Ledyba line as the smallest version of the bit before the full chaos arrives.
ledyba	Brri Brri Bicus Dicus Bombicus	ledian	brri brri bicus dicus bombicus	final	use-style-reference-as-full-art	The final stage of the Ledyba line. Keep the exact recognizable Brri Brri Bicus Dicus Bombicus identity from the OG reference and let it read as the completed payoff of the family.	Brri Brri Bicus Dicus Bombicus finishes the Ledyba line as the full operatic payoff.
spinarak	Buho de Fuego	spinarak	buho de fuego	base	use-style-reference-as-full-art	The base stage of the Spinarak line. Keep the exact recognizable Buho de Fuego identity from the OG reference, but treat it as the first readable form rather than a standalone boss.	Buho de Fuego opens the Spinarak line as the first odd little ember in the dark.
spinarak	Buho de Noelo	ariados	buho de noelo	final	use-style-reference-as-full-art	The final stage of the Spinarak line. Keep the exact recognizable Buho de Noelo identity from the OG reference and let it read as the completed payoff of the family.	Buho de Noelo closes the Spinarak line as the finished hunter-form.
zubat	Bunny Tralala	crobat	bunny tralala	final	use-style-reference-as-full-art	The final stage of the Zubat line. Keep the exact recognizable Bunny Tralala identity from the OG reference and let it read as the completed Crobat payoff rather than a standalone species.	Bunny Tralala gives the Zubat line its final fast and ridiculous ending.
capi-taco	Capi Taco	chinchou	capi taco	solo	use-style-reference-as-full-art	The iconic Capi Taco kept as a standalone OG brainrot rather than a forced evolution line. Keep the exact taco-headed captain silhouette and let it read as its own finished bit.	Capi Taco now stands alone, absurd and complete without needing an evolution ladder.
coffee-assassino	Cappuccino Assassino	lanturn	cappuccino assassino	mid	generate-from-prompt-only	The middle stage of the Assassino coffee family: an angry anthropomorphic cappuccino cup with glaring eyes set in the cup, two arms wielding katanas, legs, a Naruto forehead protector, and a full moonlit alley-assassin silhouette. Keep it clearly evolved from Cocoa Assassino, but still short of the colder and more specialized branch-finals.	Cappuccino Assassino steps into the line's middle act with twin blades drawn and enough menace to darken the whole street.
pikachu	Cappuccino Clownino	pichu	cappuccino clownino	base	use-style-reference-as-full-art	The base stage of the Pikachu line. Keep the exact recognizable Cappuccino Clownino identity from the OG reference, but treat it as the baby opening form rather than a standalone boss.	Cappuccino Clownino now opens the Pikachu line as the smallest spark in the family.
clefairy	Chicleteira Bicicleteira	cleffa	chicleteira bicicleteira	base	use-style-reference-as-full-art	The base stage of the Clefairy line. Keep the exact recognizable Chicleteira Bicicleteira identity from the OG reference, but treat it as the baby opening form rather than a standalone boss.	Chicleteira Bicicleteira now opens the Clefairy line as the tiniest version of the bit.
jigglypuff	Chicleteirina Bicicleteirina	igglybuff	chicleteirina bicicleteirina	base	use-style-reference-as-full-art	The base stage of the Jigglypuff line. Keep the exact recognizable Chicleteirina Bicicleteirina identity from the OG reference, but treat it as the baby opening form rather than a standalone boss.	Chicleteirina Bicicleteirina now opens the Jigglypuff line before the full round absurdity kicks in.
togepi	Chimpanzini Spiderini	togepi	chimpanzini spiderini	base	use-style-reference-as-full-art	The base stage of the Togepi line. Keep the exact recognizable Chimpanzini Spiderini identity from the OG reference, but treat it as the first readable form rather than a standalone boss.	Chimpanzini Spiderini becomes the first weird hatch of the Togepi line.
togepi	Chocco Bunny	togetic	chocco bunny	final	use-style-reference-as-full-art	The final stage of the Togepi line. Keep the exact recognizable Chocco Bunny identity from the OG reference and let it read as the completed payoff of the family.	Chocco Bunny closes the Togepi line as its finished airborne payoff.
coffee-assassino	Cocoa Assassino	natu	cocoa assassino	base	generate-from-prompt-only	The base stage of the Assassino coffee family: a cute cocoa bean with a simple round body, a small face, tiny legs, and marshmallow-tipped stick weapons in place of full katanas. Keep it visibly smaller, softer, and less armed than Cappuccino Assassino and the later specialist branches.	Cocoa Assassino is where the coffee killer family begins, still sweet-looking until the marshmallow blades come out.
coffin-tung	Coffin Tung Tung Tung Sahur	xatu	coffin tung tung tung sahur	solo	use-style-reference-as-full-art	The iconic Coffin Tung Tung Tung Sahur kept as a standalone OG brainrot rather than tied to an unrelated family. Preserve the full ritual coffin silhouette and let it read as a complete finished creature.	Coffin Tung Tung Tung Sahur now lands as its own finished omen, carrying the whole ritual with no pre-evolution needed.
ballerino-lololo	Ballerino Lololo	gallade	ballerino lololo	solo	generate-from-prompt-only	The iconic Ballerino Lololo kept as a standalone mythic: a muscular frappé dancer with human arms and legs, ballet grace, a shaker in hand, and a theatrical airborne stage presence. Preserve the exact recognizable coffee-story legend rather than forcing him into an evolution line.	Ballerino Lololo leaps across the stage like a rumor too glamorous to die.
coffee-assassino	Frappocino Assassino	froslass	frappocino assassino	branch-final	generate-from-prompt-only	A branch-final of the Assassino coffee family: a cold blended frappuccino ninja, still a stealth killer of the night, but with a frostier drink silhouette, smoother assassin lines, and a colder more specialized payoff than Cappuccino Assassino.	Frappocino Assassino finishes one branch of the family as the frozen hitman who arrives after the street has already gone quiet.
coffee-assassino	Matchaino Assassino	simisage	matchaino assassino	branch-final	generate-from-prompt-only	A branch-final of the Assassino coffee family: a matcha-green assassin spirit stalking a moonlit alley with two Japanese katanas, a calmer deadlier posture, and a more disciplined samurai silhouette than Cappuccino Assassino.	Matchaino Assassino ends the other branch in a silence so sharp it feels cut by the blade.
espressona-signora	Espressona Signora	zoroark	espressona signora	solo	generate-from-prompt-only	The iconic Espressona Signora kept as a standalone rival mythic: a seductive coffee-mug-headed lady dressed in all black, smoking a cigarette, with a darker cartoony silhouette and meaner elegance than Ballerina Cappuccina. Preserve her exact recognizable coffee-story rival identity rather than forcing an evolution line.	Espressona Signora enters like gossip with a cigarette, and somehow the whole stage goes colder at once.
mareep	Dolphini Jetskini	mareep	dolphini jetskini	base	use-style-reference-as-full-art	The base stage of the Mareep line. Keep the exact recognizable Dolphini Jetskini identity from the OG reference, but treat it as the first readable form rather than a standalone boss.	Dolphini Jetskini starts the Mareep line as the first bright and slippery version of the joke.
mareep	Dragon Cannelloni	flaaffy	dragon cannelloni	mid	use-style-reference-as-full-art	The middle stage of the Mareep line. Keep the exact recognizable Dragon Cannelloni identity from the OG reference, but treat it as the bridge evolution between Dolphini Jetskini and Dragon Gingerini rather than a standalone boss.	Dragon Cannelloni pushes the Mareep line into a louder middle stage without cashing out the whole final form.
mareep	Dragon Gingerini	ampharos	dragon gingerini	final	use-style-reference-as-full-art	The final stage of the Mareep line. Keep the exact recognizable Dragon Gingerini identity from the OG reference and let it read as the completed payoff of the family.	Dragon Gingerini closes the Mareep line as the fully realized payoff form.
oddish	Fishboard	bellossom	fishboard	branch-final	use-style-reference-as-full-art	A branch-final Oddish evolution. Keep the exact recognizable Fishboard identity from the OG reference and let it read as an alternate completed ending for the Oddish family.	Fishboard breaks away as a finished alternate ending for the Oddish line.
marill	Fishino Clownino	marill	fishino clownino	base	use-style-reference-as-full-art	The base stage of the Marill line. Keep the exact recognizable Fishino Clownino identity from the OG reference, but treat it as the first readable form rather than a standalone boss.	Fishino Clownino becomes the first splash of the Marill line.
marill	Granchiello Spiritell	azumarill	granchiello spiritell	final	use-style-reference-as-full-art	The final stage of the Marill line. Keep the exact recognizable Granchiello Spiritell identity from the OG reference and let it read as the completed payoff of the family.	Granchiello Spiritell closes the Marill line as the fully realized payoff form.
sudowoodo	Gelato Pebblino	bonsly	gelato pebblino	base	generate-from-prompt-only	The base stage of the Sudowoodo line: Gelato Pebblino as a tiny frozen stone-creature with a rounded pebble body, little frost stubs, and only the first hint of the colder draconic shape that will later become Ice Dragon.	Gelato Pebblino is the first cold pebble of the Sudowoodo line, still small enough to fit in a palm and already too strange to ignore.
sudowoodo	Ice Dragon	sudowoodo	ice dragon	final	use-style-reference-as-full-art	The final stage of the Sudowoodo line. Keep the exact recognizable Ice Dragon identity from the OG reference and let it read as the fully evolved icy payoff rather than a standalone species.	Ice Dragon now lands as the completed frozen monster at the end of the Sudowoodo line.
poliwag	La Taco Combinasion	politoed	la taco combinasion	branch-final	use-style-reference-as-full-art	A branch-final Poliwag evolution. Keep the exact recognizable La Taco Combinasion identity from the OG reference and let it read as an alternate completed ending for the Poliwag family.	La Taco Combinasion breaks away as a finished alternate ending for the Poliwag line.
hoppip	Lavadorito Spinito	hoppip	lavadorito spinito	base	use-style-reference-as-full-art	The base stage of the Hoppip line. Keep the exact recognizable Lavadorito Spinito identity from the OG reference, but treat it as the first readable form rather than a standalone boss.	Lavadorito Spinito opens the Hoppip line as the first floating version of the joke.
hoppip	Mastodontico Telepiedone	skiploom	mastodontico telepiedone	mid	use-style-reference-as-full-art	The middle stage of the Hoppip line. Keep the exact recognizable Mastodontico Telepiedone identity from the OG reference, but treat it as the bridge evolution between Lavadorito Spinito and Meowl rather than a standalone boss.	Mastodontico Telepiedone carries the Hoppip line into a heavier middle stage without stealing the final payoff.
hoppip	Meowl	jumpluff	meowl	final	use-style-reference-as-full-art	The final stage of the Hoppip line. Keep the exact recognizable Meowl identity from the OG reference and let it read as the completed payoff of the family.	Meowl closes the Hoppip line as the full absurd bloom.
aipom	Pipi Kiwi	aipom	pipi kiwi	base	use-style-reference-as-full-art	The base stage of the Aipom line. Keep the exact recognizable Pipi Kiwi identity from the OG reference, but treat it as the first mischievous fruit-monkey form rather than a standalone boss.	Pipi Kiwi now opens the Aipom line as the first cheeky fruit-trickster in the family.
aipom	Pipi Kiwi Maximo	ambipom	pipi kiwi maximo	final	generate-from-prompt-only	The final stage of the Aipom line: Pipi Kiwi Maximo as a larger, more complete kiwi-primate payoff with the same core face and fruit logic as Pipi Kiwi, but upgraded with twin tail-hands, a broader silhouette, and a clearly evolved performer attitude.	Pipi Kiwi Maximo closes the Aipom line by turning the first little joke into a full double-handed menace.
sunkern	Quesadilla Crocodila	sunkern	quesadilla crocodila	base	use-style-reference-as-full-art	The base stage of the Sunkern line. Keep the exact recognizable Quesadilla Crocodila identity from the OG reference, but treat it as the first readable form rather than a standalone boss.	Quesadilla Crocodila now opens the Sunkern line as the first dry little grin in the soil.
sunkern	Svinina Bombardino	sunflora	svinina bombardino	final	use-style-reference-as-full-art	The final stage of the Sunkern line. Keep the exact recognizable Svinina Bombardino identity from the OG reference and let it read as the completed payoff of the family.	Svinina Bombardino closes the Sunkern line as the fully realized payoff form.
yanma	Te Te Sahur	yanma	te te sahur	base	generate-from-prompt-only	The base stage of the Yanma line: Te Te Sahur as a lean early striker with a simpler dawn-waker face, a lighter insect-drone body, and only the first two-beat version of the rhythm that will later become Te Te Te Sahur.	Te Te Sahur is the first buzzing knock of the Yanma line, still slim, still quick, and not yet the full morning alarm.
bombardino-flight	Bombardino Hippopito	hitmontop	bombardino hippopito	branch-final	generate-from-prompt-only	The hippo branch of the Bombardino family: Bombardino Hippopito as a bomber plane fused with a heavy hippo head and bulky airborne body, broad snout, thick mass, and a stubborn destructive sky-tank attitude. Keep the OG identity, but make it read as a full alternate final branch from the same tiny plane base.	One branch grew heavier than the others and started bombing with the confidence of a flying tank.
yanma	Te Te Te Sahur	yanmega	te te te sahur	final	use-style-reference-as-full-art	The final stage of the Yanma line. Keep the exact recognizable Te Te Te Sahur identity from the OG reference and let it read as the fully evolved triple-beat payoff rather than a standalone species.	Te Te Te Sahur now lands as the finished triple-rhythm monster at the end of the Yanma line.
wooper	Ti Ti Ti Sahur	wooper	ti ti ti sahur	base	use-style-reference-as-full-art	The base stage of the Wooper line. Keep the exact recognizable Ti Ti Ti Sahur identity from the OG reference, but treat it as the first readable form rather than a standalone boss.	Ti Ti Ti Sahur now opens the Wooper line as the first muddy fragment of the joke.
wooper	Tralalita Tralala	quagsire	tralalita tralala	final	use-style-reference-as-full-art	The final stage of the Wooper line. Keep the exact recognizable Tralalita Tralala identity from the OG reference and let it read as the completed payoff of the family.	Tralalita Tralala closes the Wooper line as the fully realized payoff form.
espeon	Urubini Flamenguini	espeon	urubini flamenguini	solo	use-style-reference-as-full-art	A solo Urubini Flamenguini entry. Keep the exact recognizable Urubini Flamenguini identity from the OG reference and let it read as its own finished OG brainrot species rather than an Eevee branch.	Urubini Flamenguini now stands on its own instead of closing the Footera family.
eevee	Gangster Footera	umbreon	gangster footera	branch-final	generate-from-prompt-only	The dark branch and mythic end route: Gangster Footera as the completed hooded street-fox with the enormous sneaker-foot, dark blue hooded jacket, yellow trim, blocky grey cap, narrow slit eyes, and intimidating alley-boss swagger from the OG reference. Keep it clearly darker, sleeker, and more menacing than the other Footera branches.	Gangster Footera lands like the forbidden night route, one giant step away from a mugging and a miracle.
eevee	Gangster Footera	leafeon	grass footera	branch-final	generate-from-prompt-only	The grass branch: a leaf-rich Footera that keeps the giant sneaker-foot, sly eyes, hooded street-creature body, and cap silhouette, but grows vine laces, mossy trim, leaf frills, and a fast hedge-runner posture. It should feel like the green route of the same family rather than a different animal.	The grass route taught Footera to cut corners through hedges and come back greener than before.
